Year,Entity, Comprehensive Nuclear-Test-Ban Treaty, Nuclear Non-Proliferation Treaty,Prohibition of Nuclear Weapons,Partial Test Ban Treaty
1963,Approved,,,,23
1964,Approved,,,,69
1965,Approved,,,,89
1966,Approved,,,,93
1967,Approved,,,,95
1968,Approved,,3,,98
1969,Approved,,22,,101
1970,Approved,,61,,101
1971,Approved,,66,,102
1972,Approved,,72,,103
1973,Approved,,77,,103
1974,Approved,,78,,103
1975,Approved,,92,,103
1976,Approved,,97,,105
1977,Approved,,100,,105
1978,Approved,,102,,106
1979,Approved,,108,,108
1980,Approved,,110,,109
1981,Approved,,112,,109
1982,Approved,,116,,109
1983,Approved,,117,,109
1984,Approved,,120,,109
1985,Approved,,127,,112
1986,Approved,,132,,113
1987,Approved,,133,,113
1988,Approved,,135,,115
1989,Approved,,137,,116
1990,Approved,,139,,116
1991,Approved,,144,,117
1992,Approved,,156,,118
1993,Approved,,163,,122
1994,Approved,,170,,124
1995,Approved,,183,,124
1996,Approved,1,185,,124
1997,Approved,8,186,,124
1998,Approved,26,187,,124
1999,Approved,51,187,,124
2000,Approved,69,187,,124
2001,Approved,89,187,,124
2002,Approved,97,188,,124
2003,Approved,108,189,,124
2004,Approved,120,189,,124
2005,Approved,126,189,,124
2006,Approved,137,190,,125
2007,Approved,141,190,,125
2008,Approved,148,190,,125
2009,Approved,151,190,,125
2010,Approved,153,190,,125
2011,Approved,155,190,,125
2012,Approved,157,190,,125
2013,Approved,161,190,,125
2014,Approved,163,190,,125
2015,Approved,164,191,,125
2016,Approved,166,191,,125
2017,Approved,166,191,3,125
2018,Approved,167,191,19,125
2019,Approved,168,191,34,125
2020,Approved,168,191,51,125
2021,Approved,170,191,59,125
2022,Approved,176,191,68,125
2023,Approved,177,191,69,125
